timestamp,house_id,season,festival,temperature_c,ac,fridge,lights,fans,washing_machine,tv,geyser,other_appliances,kwh
2024-01-21,H004,winter,no,21.63,0.0,0.503,0.115,0.336,0.052,0.105,0.503,0.467,5.466
2024-01-22,H003,winter,no,20.64,0.0,0.616,0.326,0.349,0.308,0.193,0.442,0.364,5.663
2024-01-23,H003,winter,no,24.45,0.0,0.526,0.33,0.467,0.091,0.236,0.482,0.706,5.367
2024-01-24,H005,winter,no,21.69,0.0,0.487,0.333,0.314,0.243,0.185,0.491,0.303,4.429
2024-01-25,H003,winter,no,21.14,0.0,0.524,0.263,0.436,0.158,0.246,0.478,0.389,5.037
2024-01-26,H001,winter,no,21.3,0.0,0.393,0.404,0.299,0.171,0.195,0.495,0.271,4.984
2024-01-27,H004,winter,no,23.06,0.0,0.543,0.268,0.389,0.161,0.158,0.382,0.463,5.289
2024-01-28,H005,winter,no,22.73,0.0,0.54,0.329,0.272,0.2,0.124,0.377,0.404,5.361
2024-01-29,H001,winter,no,22.83,0.0,0.599,0.342,0.346,0.217,0.173,0.447,0.264,5.317
2024-01-30,H003,winter,no,22.86,0.0,0.437,0.42,0.446,0.265,0.214,0.449,0.328,5.38
2024-01-31,H003,winter,no,26.28,0.252,0.62,0.278,0.567,0.293,0.063,0.408,0.497,6.551
2024-02-01,H001,winter,no,25.69,0.129,0.599,0.254,0.565,0.207,0.145,0.469,0.485,6.218
2024-02-02,H002,winter,no,25.48,0.079,0.625,0.195,0.553,0.317,0.06,0.523,0.219,6.387
2024-02-03,H005,winter,no,24.87,0.0,0.547,0.409,0.652,0.187,0.157,0.545,0.313,5.353
2024-02-04,H002,winter,no,27.73,0.327,0.611,0.329,0.539,0.266,0.284,0.563,0.542,8.062
2024-02-05,H003,winter,no,28.76,0.553,0.462,0.332,0.511,0.214,0.117,0.345,0.343,8.287
2024-02-06,H004,winter,no,26.27,0.09,0.593,0.518,0.457,0.136,0.249,0.357,0.378,5.33
2024-02-07,H003,winter,no,24.82,0.0,0.504,0.323,0.426,0.194,0.399,0.427,0.463,5.727
2024-02-08,H005,winter,no,24.85,0.031,0.451,0.209,0.406,0.22,0.302,0.456,0.227,5.435
2024-02-09,H003,winter,no,27.8,0.401,0.483,0.286,0.61,0.177,0.209,0.431,0.266,6.572
2024-02-10,H005,winter,no,27.99,0.412,0.55,0.232,0.71,0.213,0.26,0.406,0.328,8.027
2024-02-11,H001,winter,no,27.59,0.356,0.501,0.272,0.717,0.249,0.104,0.426,0.48,7.438
2024-02-12,H005,winter,no,25.17,0.0,0.573,0.272,0.537,0.178,0.09,0.489,0.462,5.219
2024-02-13,H001,winter,no,26.96,0.309,0.442,0.259,0.74,0.0,0.202,0.344,0.432,6.365
2024-02-14,H005,winter,no,26.73,0.213,0.422,0.202,0.531,0.314,0.228,0.637,0.346,6.949
2024-02-15,H004,winter,no,26.94,0.203,0.632,0.411,0.437,0.156,0.277,0.452,0.473,6.477
2024-02-16,H003,winter,no,28.24,0.38,0.604,0.321,0.704,0.114,0.16,0.534,0.345,7.221
2024-02-17,H005,winter,no,26.95,0.405,0.487,0.284,0.421,0.09,0.214,0.404,0.418,7.075
2024-02-18,H004,winter,no,27.86,0.218,0.55,0.353,0.544,0.153,0.211,0.496,0.451,6.741
2024-02-19,H004,winter,no,26.64,0.244,0.611,0.333,0.597,0.135,0.191,0.458,0.53,6.356
2024-02-20,H004,winter,no,27.08,0.125,0.575,0.319,0.565,0.121,0.195,0.519,0.354,5.774
2024-02-21,H005,winter,no,27.76,0.337,0.559,0.348,0.585,0.125,0.14,0.434,0.324,6.855
2024-02-22,H002,winter,no,23.59,0.0,0.616,0.309,0.339,0.222,0.22,0.574,0.49,5.615
2024-02-23,H005,winter,no,25.86,0.0,0.506,0.347,0.524,0.342,0.214,0.331,0.497,5.818
2024-02-24,H003,winter,no,25.56,0.101,0.552,0.353,0.593,0.246,0.169,0.526,0.306,6.398
2024-02-25,H001,winter,no,25.22,0.0,0.549,0.311,0.5,0.27,0.247,0.459,0.249,5.453
2024-02-26,H005,winter,no,25.95,0.0,0.534,0.285,0.462,0.15,0.272,0.369,0.482,4.778
2024-02-27,H004,winter,no,29.49,0.628,0.527,0.407,0.57,0.188,0.247,0.606,0.196,8.727
2024-02-28,H005,winter,no,24.77,0.086,0.554,0.267,0.416,0.214,0.127,0.598,0.191,5.441
